0.19|5|5|2|11
0.14|2|4|1|10
0.18|6|6|2|11
0.11|5|1|1|9
0.15|6|6|2|11
0.14|5|5|1|10
0.17|5|5|2|10
0.08|5|7|2|10
0.16|6|4|2|10
0.14|5|5|1|10
0.16|2|3|2|11
0.13|4|7|1|10
0.17|4|4|1|9
0.1|6|4|1|10
0.17|5|8|1|10
0.16|3|4|1|11
0.2|2|4|1|10
0.17|3|6|1|10
0.15|2|4|1|9
0.14|3|1|2|9
0.18|6|6|2|9
0.14|3|6|2|11
0.1|2|7|2|10
0.18|6|4|2|10
0.12|5|8|2|10
0.14|4|4|2|10
0.12|8|4|2|10
0.17|8|6|2|10
0.16|4|5|2|11
0.18|7|6|1|9
0.17|5|5|1|10
0.16|4|6|1|10
0.12|5|4|2|10
0.18|5|3|2|9
0.13|4|1|2|10
0.13|4|4|1|10
0.19|4|4|2|10
0.15|5|1|1|10
0.13|4|1|1|10
0.15|1|3|1|9
0.14|9|5|1|11
0.14|10|3|2|9
0.14|1|1|2|10
0.16|4|5|1|9
0.15|3|6|1|10
0.17|6|5|1|9
0.15|7|4|2|10
0.15|4|5|2|10
0.13|5|6|1|10
0.12|4|3|1|10
0.17|5|5|1|9
0.15|2|5|2|9
0.12|6|3|2|11
0.12|4|2|2|10
0.16|3|0|2|10
0.14|5|6|2|11
0.17|4|2|1|10
0.14|6|7|1|10
0.13|7|5|1|10
0.13|7|6|2|9
0.2|8|4|2|10
0.19|4|6|2|10
0.15|6|4|1|10
0.12|9|4|2|9
0.15|5|4|1|10
0.2|4|4|2|9
0.13|5|4|1|10
0.18|5|6|2|10
0.13|7|7|1|9
0.17|4|6|2|10
0.14|7|6|2|10
0.12|5|6|1|9
0.11|8|3|1|10
0.11|2|5|1|9
0.18|3|5|1|10
0.14|2|7|1|10
0.16|2|4|1|9
0.14|5|4|1|10
0.21|5|5|1|10
0.12|4|5|2|10
0.19|7|2|2|9
0.15|6|5|2|10
0.13|6|8|1|10
0.14|8|4|2|9
0.16|3|6|2|10
0.15|0|5|1|10
0.15|7|5|2|10
0.17|6|6|1|10
0.12|2|7|2|10
0.12|6|3|2|10
0.15|8|5|1|10
0.12|3|1|2|9
0.1|6|4|2|10
0.12|7|9|2|10
0.12|2|4|1|9
0.13|3|5|2|10
0.16|8|0|2|10
0.11|6|6|2|10
0.14|2|2|2|10
0.14|4|6|2|10
0.15|5|2|1|10
0.11|6|7|3|10
0.11|7|3|2|11
0.15|4|2|2|10
0.19|4|6|2|10
0.14|4|6|1|10
0.19|7|7|1|10
0.1|3|7|1|9
0.17|3|4|1|10
0.17|6|6|2|10
0.11|5|6|2|10
0.16|5|5|1|10
0.12|1|2|2|10
0.15|4|7|2|10
0.14|9|5|1|10
0.17|4|4|2|10
0.13|8|5|2|10
0.14|2|4|1|10
0.13|5|2|1|11
0.17|5|8|1|11
0.17|3|4|1|10
0.14|3|5|1|10
0.14|6|4|2|10
0.15|5|6|1|9
0.16|6|7|2|10
0.12|2|7|1|10
0.15|3|8|1|10
0.11|5|4|2|10
0.14|4|7|1|10
0.13|6|6|1|10
0.15|6|10|1|10
0.18|6|2|2|9
0.16|6|0|2|10
0.16|7|3|2|10
0.16|6|8|2|10
0.13|4|6|2|11
0.13|1|3|2|10
0.14|2|5|2|9
0.21|5|3|1|11
0.16|5|6|2|11
0.14|5|7|1|10
0.15|5|4|2|9
0.11|6|2|2|10
0.13|5|2|1|10
0.16|8|7|2|11
0.11|6|5|1|11
0.17|5|6|2|10
0.18|4|5|1|10
0.1|3|7|1|11
0.17|3|3|1|10
0.18|7|10|2|10
0.14|3|5|1|10
0.13|5|5|2|11
0.14|2|3|2|10
0.17|8|5|1|10
0.13|0|4|2|10
0.15|4|4|2|10
0.14|4|3|1|10
0.18|2|5|1|11
0.11|5|6|2|11
0.14|7|3|2|11
0.14|5|4|1|9
0.15|5|5|2|9
0.15|3|5|1|10
0.18|3|3|1|10
0.16|4|5|1|10
0.16|1|4|2|10
0.12|8|4|2|10
0.17|0|5|1|10
0.15|4|2|1|9
0.17|4|4|2|10
0.16|4|6|1|10
0.19|5|6|2|10
0.17|2|5|2|10
0.1|1|3|1|9
0.17|5|6|2|9
0.15|3|2|2|10
0.17|7|4|1|9
0.12|4|3|2|10
0.17|3|6|1|9
0.17|4|2|2|9
0.16|5|6|2|10
0.17|6|4|1|11
0.13|5|1|2|10
0.13|5|7|1|10
0.15|6|4|1|9
0.13|4|4|2|10
0.13|5|3|2|10
0.15|6|3|2|10
0.16|6|7|1|10
0.16|4|11|1|10
0.15|7|6|2|10
0.14|4|5|2|10
0.15|6|2|1|10
0.2|7|3|1|10
0.12|6|0|1|9
0.13|8|8|1|11
0.11|4|3|1|9
0.17|7|1|1|10
0.16|4|3|1|11
0.14|3|6|1|10
0.18|6|7|2|10
0.15|5|2|2|10
0.15|3|8|1|10
0.2|5|10|2|10
0.15|4|6|2|10
0.15|3|2|2|9
0.14|8|4|2|10
0.2|1|3|2|9
0.1|6|5|2|10
0.17|2|4|1|9
0.15|7|9|1|10
0.16|7|6|2|10
0.14|7|4|1|10
0.14|5|2|2|9
0.17|2|5|2|10
0.14|8|8|2|11
0.13|7|5|2|10
0.14|6|6|2|11
0.14|8|7|2|10
0.14|4|5|1|10
0.14|5|4|1|10
0.15|9|6|2|10
0.14|6|7|2|10
0.14|3|6|1|10
0.17|3|2|2|9
0.16|6|6|2|9
0.16|3|3|1|10
0.15|2|4|2|10
0.15|7|3|1|10
0.15|3|8|3|11
0.14|5|7|1|10
0.18|6|2|2|11
0.17|2|7|2|10
0.14|3|5|2|10
0.17|5|2|1|10
0.14|6|5|2|10
0.12|7|5|2|10
0.17|1|7|2|9
0.11|6|5|1|10
0.15|6|3|2|10
0.13|4|4|1|10
0.13|4|6|2|11
0.19|4|4|2|10
0.13|7|3|2|10
0.14|6|5|2|10
0.14|7|8|1|10
0.2|-0|6|2|10
0.14|6|3|2|11
0.16|4|-1|1|11
0.16|6|5|1|11
0.13|4|9|1|10
0.18|4|5|2|8
0.17|9|4|2|10
0.18|3|1|1|9
0.12|2|5|1|10
0.14|2|7|1|10
0.11|8|5|1|10
0.15|4|4|2|10
0.12|5|8|2|9
0.18|2|10|2|9
0.11|5|4|2|10
0.14|1|6|1|10
0.14|4|4|1|10
0.12|5|6|1|10
0.17|5|3|2|10
0.17|1|6|1|11
0.15|4|4|2|11
0.13|5|3|2|10
0.19|4|5|1|10
0.21|5|1|2|11
0.15|8|5|1|10
0.11|3|5|2|10
0.13|7|6|2|11
0.15|1|6|2|9
0.15|6|7|2|9
0.17|2|6|1|10
0.15|3|7|1|10
0.17|5|6|2|10
0.12|4|5|2|10
0.15|6|7|1|11
0.17|6|6|2|10
0.17|9|3|2|10
0.14|8|4|2|10
0.12|6|8|2|10
0.14|1|6|1|10
0.17|8|4|1|10
0.12|5|4|2|11
0.17|9|9|2|11
0.12|6|5|2|10
